int_state,bool_state,winning_variables,step_count
6,False,"[1, 5, 9]",5
5,False,"[7, 5, 3]",3
1,True,"[4, 5, 6]",4
8,False,"[7, 5, 3]",3
0,False,"[7, 5, 3]",3
5,False,"[1, 5, 9]",5
3,False,"[7, 5, 3]",3
8,True,"[4, 5, 6]",4
3,False,"[1, 5, 9]",5
8,False,"[7, 5, 3]",3
3,False,"[7, 5, 3]",3
4,False,"[7, 5, 3]",3
1,False,"[1, 5, 9]",5
1,False,"[7, 5, 3]",3
1,False,"[7, 5, 3]",3
3,False,"[1, 5, 9]",5
3,False,"[7, 5, 3]",3
1,False,"[1, 5, 9]",5
6,False,"[7, 5, 3]",3
6,False,"[7, 5, 3]",3
1,True,"[4, 5, 6]",4
4,True,"[4, 5, 6]",4
7,False,"[7, 5, 3]",3
8,False,"[7, 5, 3]",3
0,False,"[7, 5, 3]",3
0,True,"[4, 5, 6]",4
7,False,"[1, 5, 9]",5
8,True,"[4, 5, 6]",4
6,False,"[1, 5, 9]",5
2,False,"[1, 5, 9]",5
6,False,"[7, 5, 3]",3
8,False,"[1, 5, 9]",5
7,False,"[1, 5, 9]",5
1,False,"[7, 5, 3]",3
7,False,"[7, 5, 3]",3
8,False,"[7, 5, 3]",3
6,False,"[1, 5, 9]",5
7,True,"[4, 5, 6]",4
0,True,"[4, 5, 6]",4
0,True,"[4, 5, 6]",4
2,False,"[7, 5, 3]",3
3,False,"[1, 5, 9]",5
4,False,"[1, 5, 9]",5
5,True,"[4, 5, 6]",4
7,False,"[1, 5, 9]",5
7,True,"[4, 5, 6]",4
8,True,"[4, 5, 6]",4
3,True,"[4, 5, 6]",4
5,False,"[7, 5, 3]",3
7,False,"[1, 5, 9]",5
