int_state,bool_state,winning_variables,step_count
6,False,"[1, 5, 9]",1
5,False,"[7, 5, 3]",3
4,False,"[1, 5, 9]",1
4,True,"[4, 5, 6]",4
3,False,"[1, 5, 9]",1
3,False,"[7, 5, 3]",3
5,False,"[7, 5, 3]",3
3,False,"[7, 5, 3]",3
8,False,"[1, 5, 9]",1
5,False,"[1, 5, 9]",1
2,False,"[7, 5, 3]",3
1,False,"[7, 5, 3]",3
5,False,"[1, 5, 9]",1
5,False,"[7, 5, 3]",3
8,False,"[1, 5, 9]",1
6,False,"[1, 5, 9]",1
7,False,"[7, 5, 3]",3
0,True,"[4, 5, 6]",4
3,False,"[1, 5, 9]",1
6,True,"[4, 5, 6]",4
6,False,"[7, 5, 3]",3
0,False,"[7, 5, 3]",3
4,False,"[1, 5, 9]",1
3,False,"[1, 5, 9]",1
3,True,"[4, 5, 6]",4
3,False,"[7, 5, 3]",3
6,False,"[7, 5, 3]",3
7,False,"[7, 5, 3]",3
5,True,"[4, 5, 6]",4
5,False,"[7, 5, 3]",3
8,False,"[1, 5, 9]",1
7,False,"[7, 5, 3]",3
6,False,"[7, 5, 3]",3
8,False,"[7, 5, 3]",3
5,False,"[7, 5, 3]",3
8,False,"[1, 5, 9]",1
6,False,"[7, 5, 3]",3
4,False,"[1, 5, 9]",1
6,True,"[4, 5, 6]",4
3,False,"[7, 5, 3]",3
8,True,"[4, 5, 6]",4
0,False,"[1, 5, 9]",1
8,False,"[7, 5, 3]",3
4,False,"[1, 5, 9]",1
4,False,"[7, 5, 3]",3
5,False,"[1, 5, 9]",1
1,False,"[7, 5, 3]",3
3,False,"[7, 5, 3]",3
3,False,"[7, 5, 3]",3
3,False,"[1, 5, 9]",1
